2025-12-13 18:43:45,999 - __main__ - INFO - Starting Mini SIEM...
2025-12-13 18:43:46,000 - __main__ - INFO - Mini SIEM started successfully
2025-12-13 18:43:46,004 - __main__ - INFO - Alert stored: Malware Command and Control Traffic from 192.168.86.254 [ID: 3097, Severity: LOW]
2025-12-13 18:43:46,008 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.219.175 [ID: 3098, Severity: LOW]
2025-12-13 18:43:51,028 - __main__ - INFO - Alert stored: Port Scanning Detected from 192.168.138.168 [ID: 3099, Severity: HIGH]
2025-12-13 18:43:51,043 - __main__ - INFO - Alert stored: Buffer Overflow Attempt from 192.168.119.113 [ID: 3100, Severity: MEDIUM]
2025-12-13 18:43:56,064 - __main__ - INFO - Alert stored: Denial of Service Attack from 192.168.169.156 [ID: 3101, Severity: HIGH]
2025-12-13 18:43:56,082 - __main__ - INFO - Alert stored: Port Scanning Detected from 192.168.184.67 [ID: 3102, Severity: MEDIUM]
2025-12-13 18:44:01,101 - __main__ - INFO - Alert stored: Malware Command and Control Traffic from 192.168.137.65 [ID: 3103, Severity: LOW]
2025-12-13 18:44:01,118 - __main__ - INFO - Alert stored: Potential SSH Brute Force from 192.168.53.64 [ID: 3104, Severity: HIGH]
2025-12-13 18:44:06,136 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.88.11 [ID: 3105, Severity: HIGH]
2025-12-13 18:44:06,156 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.30.125 [ID: 3106, Severity: HIGH]
2025-12-13 18:44:11,176 - __main__ - INFO - Alert stored: Denial of Service Attack from 192.168.1.2 [ID: 3107, Severity: LOW]
2025-12-13 18:44:11,196 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.249.104 [ID: 3108, Severity: HIGH]
2025-12-13 18:44:16,467 - __main__ - INFO - Alert stored: Web Application SQL Injection Attempt from 192.168.12.17 [ID: 3109, Severity: HIGH]
2025-12-13 18:44:16,568 - __main__ - INFO - Alert stored: Malware Command and Control Traffic from 192.168.90.47 [ID: 3110, Severity: MEDIUM]
2025-12-13 18:44:21,581 - __main__ - INFO - Alert stored: Potential SSH Brute Force from 192.168.94.11 [ID: 3111, Severity: HIGH]
2025-12-13 18:44:21,585 - __main__ - INFO - Alert stored: Potential SSH Brute Force from 192.168.132.37 [ID: 3112, Severity: MEDIUM]
2025-12-13 18:44:26,593 - __main__ - INFO - Alert stored: Web Application SQL Injection Attempt from 192.168.203.34 [ID: 3113, Severity: MEDIUM]
2025-12-13 18:44:26,600 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.164.36 [ID: 3114, Severity: LOW]
2025-12-13 18:44:31,617 - __main__ - INFO - Alert stored: Directory Traversal Attempt from 192.168.85.127 [ID: 3115, Severity: MEDIUM]
2025-12-13 18:44:31,633 - __main__ - INFO - Alert stored: Suspicious Network Activity from 192.168.2.235 [ID: 3116, Severity: LOW]
2025-12-13 18:44:36,640 - __main__ - INFO - Alert stored: Denial of Service Attack from 192.168.74.148 [ID: 3117, Severity: HIGH]
2025-12-13 18:44:36,659 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.58.219 [ID: 3118, Severity: HIGH]
2025-12-13 18:44:41,679 - __main__ - INFO - Alert stored: Web Application SQL Injection Attempt from 192.168.43.109 [ID: 3119, Severity: HIGH]
2025-12-13 18:44:41,690 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.70.137 [ID: 3120, Severity: MEDIUM]
2025-12-13 18:44:46,706 - __main__ - INFO - Alert stored: Port Scanning Detected from 192.168.74.58 [ID: 3121, Severity: HIGH]
2025-12-13 18:44:46,722 - __main__ - INFO - Alert stored: Suspicious DNS Query from 192.168.15.76 [ID: 3122, Severity: HIGH]
2025-12-13 18:44:51,733 - __main__ - INFO - Alert stored: Suspicious Network Activity from 192.168.241.228 [ID: 3123, Severity: HIGH]
2025-12-13 18:44:51,739 - __main__ - INFO - Alert stored: Suspicious DNS Query from 192.168.99.13 [ID: 3124, Severity: HIGH]
2025-12-13 18:44:56,199 - __main__ - INFO - Shutdown signal received
2025-12-13 18:44:56,200 - __main__ - INFO - Stopping Mini SIEM...
2025-12-13 18:44:56,740 - __main__ - INFO - Mini SIEM stopped
2025-12-13 18:47:07,696 - __main__ - INFO - Starting Mini SIEM...
2025-12-13 18:47:07,698 - __main__ - INFO - Mini SIEM started successfully
2025-12-13 18:47:07,702 - __main__ - INFO - Alert stored: Denial of Service Attack from 192.168.170.252 [ID: 3125, Severity: LOW]
2025-12-13 18:47:07,707 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.118.194 [ID: 3126, Severity: HIGH]
2025-12-13 18:47:12,726 - __main__ - INFO - Alert stored: Port Scanning Detected from 192.168.41.245 [ID: 3127, Severity: HIGH]
2025-12-13 18:47:12,747 - __main__ - INFO - Alert stored: Suspicious Network Activity from 192.168.166.232 [ID: 3128, Severity: HIGH]
2025-12-13 18:47:17,768 - __main__ - INFO - Alert stored: Buffer Overflow Attempt from 192.168.110.105 [ID: 3129, Severity: MEDIUM]
2025-12-13 18:47:17,787 - __main__ - INFO - Alert stored: Malware Command and Control Traffic from 192.168.53.212 [ID: 3130, Severity: MEDIUM]
2025-12-13 18:47:22,795 - __main__ - INFO - Alert stored: Port Scanning Detected from 192.168.141.113 [ID: 3131, Severity: HIGH]
2025-12-13 18:47:22,800 - __main__ - INFO - Alert stored: Unauthorized Data Transfer from 192.168.53.248 [ID: 3132, Severity: HIGH]
2025-12-13 18:47:27,816 - __main__ - INFO - Alert stored: Suspicious DNS Query from 192.168.228.236 [ID: 3133, Severity: HIGH]
2025-12-13 18:47:27,835 - __main__ - INFO - Alert stored: Suspicious DNS Query from 192.168.181.84 [ID: 3134, Severity: HIGH]
2025-12-13 18:47:32,852 - __main__ - INFO - Alert stored: Buffer Overflow Attempt from 192.168.47.74 [ID: 3135, Severity: LOW]
2025-12-13 18:47:32,863 - __main__ - INFO - Alert stored: Potential SSH Brute Force from 192.168.182.59 [ID: 3136, Severity: HIGH]
